event_id,log_template,entity_node_id,action_node_id,status_node_id
8,<*>:50010 Served block blk_<*> to /<*>,/_0,serving_0,none_0
13,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010,BLOCK*_1,replicate_1,none_1
20,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010 <*>:50010,BLOCK*_1,write_2,none_2
2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:50010 is added to blk_<*> size <*>,NameSystem_2,add_3,updated_3
7,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,NameSystem_2,allocate_4,none_4
41,PacketResponder blk_<*> 1 Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[closed]. <*> millis timeout left.,PacketResponder_3,none_5,exception_5
46,PacketResponder blk_<*> 1 Exception java.io.IOException: The stream is closed,PacketResponder_3,none_6,exception_6
27,PendingReplicationMonitor timed out block blk_<*>,blk_4,timed out_7,none_7
29,PacketResponder blk_<*> <*> Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010]. <*> millis timeout left.,blk_4,none_8,exception_10
30,PacketResponder blk_<*> <*> Exception <*>,blk_4,none_9,exception_11
31,PacketResponder blk_<*> <*> Exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk_4,none_10,exception_12
32,Exception in receiveBlock for block blk_<*> java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,blk_4,none_11,exception_13
33,writeBlock blk_<*> received exception java.io.IOException: <*> <*>,blk_4,write_12,exception_14
34,writeBlock blk_<*> received exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for <*> ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk_4,write_12,exception_15
24,writeBlock blk_<*> received exception <*>,blk_4,write_12,exception_16
37,"writeBlock blk_<*> received exception java.io.IOException: Block blk_<*> is valid, and cannot be written to.",blk_4,write_12,exception_17
38,<*>:50010:Failed to transfer blk_<*> to <*>:50010 got java.io.IOException: Connection reset by peer,blk_4,transfer_13,failed_20
39,writeBlock blk_<*> received exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,blk_4,write_12,exception_18
40,PacketResponder blk_<*> <*> Exception java.io.IOException: Broken pipe,blk_4,none_14,exception_22
42,Exception in receiveBlock for block blk_<*> java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for write. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk_4,none_15,exception_23
43,Reopen Block blk_<*>,blk_4,reopen_16,none_24
44,BLOCK* Removing block blk_<*> from neededReplications as it does not belong to any file.,blk_4,receiving_17,none_25
45,Exception in receiveBlock for block blk_<*> java.io.IOException: Broken pipe,blk_4,none_18,exception_26
35,PacketResponder blk_<*> <*> Exception java.io.IOException: Connection reset by peer,blk_4,none_19,exception_27
26,Exception in receiveBlock for block blk_<*> <*>,blk_4,none_20,exception_28
47,writeBlock blk_<*> received exception java.net.NoRouteToHostException: No route to host,blk_4,receive_21,exception_29
23,writeBlock blk_<*> received exception java.io.IOException: Connection reset by peer,blk_4,write_12,exception_19
3,PacketResponder <*> for block blk_<*> <*>,blk_4,none_22,none_31
22,Exception in receiveBlock for block blk_<*> java.io.IOException: Connection reset by peer,blk_4,timed out_7,exception_8
4,Received block blk_<*> of size <*> from /<*>,blk_4,writing_23,none_32
19,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for blk_<*> on <*>:50010 size <*>,blk_4,timed out_7,redundant_9
18,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for blk_<*> on <*>:50010 size <*> But it does not belong to any file.,blk_4,receive_21,error_30
6,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:50010,blk_4,delete_24,invalid_34
16,writeBlock blk_<*> received exception java.io.IOException: Could not read from stream,blk_4,writing_23,exception_33
9,<*>:50010:Got exception while serving blk_<*> to /<*>:,blk_4,transfer_13,exception_21
10,Verification succeeded for blk_<*>,blk_4,verification_25,successful_35
14,<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010,block_5,transferring_26,none_36
12,<*>:50010:Transmitted block blk_<*> to /<*>:50010,block blk_6,transmitted_27,none_37
11,Received block blk_<*> src: <*> dest: /<*>:50010 of size <*>,block blk_6,receiving_28,none_38
36,Adding an already existing block blk_<*>,block blk_6,writing_29,already existing_41
15,Unexpected error trying to delete block blk_<*>. BlockInfo not found in volumeMap.,block blk_6,deleting_30,error_42
17,Receiving empty packet for block blk_<*>,block blk_6,receive_31,empty_43
21,"<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010, <*>:50010",block blk_6,transferring_32,none_44
28,<*>:50010:Exception writing block blk_<*> to mirror <*>:50010,block blk_6,writing_33,exception_45
25,Changing block file offset of block blk_<*> from 0 to <*> meta file offset to <*>,block blk_6,receiving_28,none_39
1,Receiving block blk_<*> src: <*> dest: /<*>:50010,block blk_6,receiving_28,none_40
5,Deleting block blk_<*> file <*><*>,block blk file_7,deleting_34,none_46
